#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
94,Réunion,"418,585",,796 ,,"415,360",,"2,429",10,"461,158",877,"1,603,660","1,766,762","907,683 ",Africa,"21,1401",,,"2,676"
95,Oman,"389,758",,"4,260 ",,"384,669",,829,2,"72,743",795,"25,000,000","4,665,901","5,358,022 ",Asia,"141,2580",,,155
96,Bosnia and Herzegovina,"378,083",,"15,793 ",,N/A,N/A,N/A,,"116,645","4,872","1,782,014","549,779","3,241,325 ",Europe,92052,,,"52,470"
97,Qatar,"371,846",+261,677 ,,"368,817",+240,"2,352",,"132,433",241,"3,582,902","1,276,051","2,807,805 ",Asia,"84,1471",93,,838
98,Kenya,"326,449",,"5,651 ",,"319,325",,"1,473",,"5,823",101,"3,695,448","65,915","56,064,131 ",Africa,"1729,92115",,,26
99,Zambia,"323,058",,"3,989 ",,"318,016",,"1,053",,"16,669",206,"3,504,021","180,801","19,380,509 ",Africa,"604,8586",,,54
100,North Macedonia,"312,538",,"9,316 ",,"302,807",,415,,"150,027","4,472","2,055,472","986,686","2,083,208 ",Europe,72241,,,199
101,Botswana,"310,431",,"2,701 ",,"304,887",,"2,843",1,"127,041","1,105","2,026,898","829,490","2,443,546 ",Africa,89051,,,"1,163"
102,Albania,"276,638",,"3,497 ",,"272,845",,296,2,"96,332","1,218","1,834,223","638,721","2,871,714 ",Europe,108212,,,103
103,Algeria,"265,925",,"6,875 ",,"178,435",,"80,615",6,"5,859",151,"230,861","5,087","45,384,008 ",Africa,"1716,601197",,,"1,776"
104,Nigeria,"256,264",,"3,144 ",,"250,117",,"3,003",11,"1,186",15,"5,198,572","24,064","216,029,471 ",Africa,"84368,71242",,,14
105,Zimbabwe,"254,031",,"5,518 ",,"246,213",,"2,300",12,"16,623",361,"2,353,210","153,988","15,281,817 ",Africa,"602,7696",,,151
106,Luxembourg,"251,873",,"1,084 ",,"245,443",,"5,346",,"390,081","1,679","4,275,297","6,621,243","645,694 ",Europe,35960,,,"8,279"
107,Uzbekistan,"239,236",+33,"1,637 ",,"237,406",+20,193,23,"6,953",48,"1,377,915","40,046","34,408,313 ",Asia,"14421,01925",1.0,,6
108,Montenegro,"237,793",,"2,722 ",,"234,619",,452,6,"378,519","4,333","2,483,318","3,952,943","628,220 ",Europe,32310,,,719
109,Mozambique,"226,325",,"2,206 ",,"223,660",,459,13,"6,869",67,"1,334,039","40,486","32,950,375 ",Africa,"14614,93725",,,14
110,Laos,"210,136",+7,757 ,,N/A,N/A,N/A,,"28,093",101,"1,233,207","164,868","7,479,961 ",Asia,"369,8816",0.9,,"26,968"
111,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,854",444,"1,907,195","283,278","6,732,586 ",Asia,"332,2514",,,237
112,Iceland,"189,319",,153 ,,N/A,N/A,N/A,1,"547,907",443,"1,953,943","5,654,899","345,531 ",Europe,"22,2580",,,"328,425"
113,Martinique,"182,791",,943 ,,104,,"181,744",8,"487,830","2,517","828,928","2,212,233","374,702 ",North America,23970,,,"485,036"
114,Afghanistan,"180,864",,"7,709 ",,"163,215",,"9,940","1,124","4,452",190,"971,529","23,914","40,625,469 ",Asia,"2255,27042",,,245
